"من لها: اذهبي الى بيت ابيك ولا	حاجة	لي بك ، وعندي منها اولاد. زوجي مدمن حبوب مخدرة ،",,,
"قد قام بارسال رسائل لهن وتدل على وجود	علاقة	، خاطري اعمل ضجة ومشكلة لكن الزم الهدوء واتروى بسبب اولادي ؟",,,
"بك ، وعندي منها اولاد. زوجي مدمن	حبوب	مخدرة ، وقد طلقني ثلاث مرات في ثلاث وقعات مختلفة ، مع",,,
"ومتزوجة منذ 6 شهور ، وتربطنا باهل زوجي	علاقة	صداقة عائلية ، فاخي الكبير رضع من والدة زوجي من قبل",,,
"واصبح اخاهم 6 شهور ، وتربطنا باهل زوجي	علاقة	صداقة عائلية ، فاخي الكبير رضع من والدة زوجي من قبل",,,
"نَجْزِي الْمُحْسِنِينَ. ولكم جزيل الشكر. اقيم	علاقة	مع اخي زوجي واندم وابكي وارجع الى الله واطلب التوبة ، وبعد",,,
"لاهلي ، وبعدها بايام اتاني زوجي وحصل بيننا	جماع	، هذا مع العلم اني كنت رافضة بتاتا ، هل علي شيء",,,
"موجود ام مسافر فهو لا يحتويني نفسيا ولا	جنسيا	ومن كثرة شكواي جاء الحكم لو فعلت ذلك ؟ ولكم جزيل الشكر",,,
"في غير بلاد المسلمين ؟ هل آثم اذا	جامعت	زوجي ولم احس بشيء وتظاهرت بالعكس ؟ ما حكم عمل شهادة محرمية",,,
"وعلى بلوغ الانتصاب ولكن المشكلة انه كان باردا	جنسيا	جدا انا زوجك ، ولي حق ان تسمعي كلامي "" ، فقالت",,,
"بعد انتهاء دم الحيض اردت الغسل للطهارة لكي	يجامعني	زوجي ، وعند دخولي للاغتسال انتابني اضطراب شديد في داخلي حول انني",,,
"اعلم انني لا بد من ان اغتسل لكي	يجامعني	زوجي وانا طاهرة ، فقمت بخطوات الاغتسال جيدا بالرغم من سيطرة هذا",,,
"شريعة- ، ومدرّسًا ، وخطيبًا فترة قامت بعمل	علاقة	غرامية معه ، وفعلا معًا كل ما دون الزنى ، واعترف زوجي",,,
"ويتكلم معها في كل شيء - حتى في	الجنس	- بيت اهلي لا تسمح لي بالطلاق",,,
"اهانة لي ؛ لاني اتقن المداعبة",,,
"ابي ، فخرجنا دون علم ابي وحصل بيننا	جماع	، فما ان افعل ؟ وهل اطلّقه ؟ علما انٌه بدا العلاج",,,
"سنتين ونصف بحثت في تليفون زوجي فوجدته على	علاقة	بامراة منذ عام ويقول لي انها ستفيده في شغله فاصبحت لا اثق",,,
"اول يوم زواج يحب يعزل نفسه ولا يحب	ينام	وبجانبه احد حتى انا الآن صلتهم ؟ وهل تعتبر الزيارة في كل",,,
"علما اني عندما حاولت ان لا اجاريه قلت	شهوته	الجنسية جدا لهذا عدت للقصص الخيالية للقصص الخيالية التي يعشقها عن خيانتي",,,
"ولكنها موجودة هو يعشق ان اقول له عند	شهوته	وتحليلكم وارجو ان تقولوا لي بان الله لا يعتبر ما يحصل حراما",,,
"وقال له بصحة هذا الزواج رغم اتفقنا على	علاقة	خالية من الاتصال الزوجي الى ان يخطبني من اهلي ، عندما اصبح",,,
"تواصل مع زوجي ، وبصراحه انا لي احتياجات	جنسية	، وكنت اتمنى من زوجي ان يخفف عني ولو وانا على تواصل",,,
"تواصل مع زوجي ، وبصراحه انا لي احتياجات	جنسية	، وكنت اتمنى من زوجي ان يخفف عني ولو باي طريقة ؛",,,
"انا متزوجة اذا كان زوجي نائما واردت ممارسة	الجنس	فنمت بجنبه وامسكت به ، وبالتالي حدث معي اتمام عمليه الجنس ،",,,
"وامسكت به ، وبالتالي حدث معي اتمام عمليه	الجنس	، ونهاية فاني اعتذر عن صراحتي الزائدة واطالتي عليكم ؟ وبارك الله",,,
"مع بعض وما الحديث ؟ وما الفرق بين	العادة	والخلق ؟. تزوجت مند سنة من الآن لكن زوجي طلقني بعد",,,
"الاولى وما الى ذلك ؟ زوجي كان يمارس	العادة	السرية لمدة 15 عاما تقريبا ، ولا يستطيع اكمال العلاقة الا من",,,
"بالعادة اكره زوجي ورائحته ، وان اقيم معه	علاقة	. كان زوجي يتفهمني في الحمل الاول ، اما صعب في حملي",,,
"بالعادة اكره زوجي ورائحته ، وان اقيم معه	علاقة	. كان زوجي يتفهمني في الحمل الاول ، اما الآن فلا ،",,,
"هذا الحديث ابداً. فما حكم استطيع وضع	قضيب	اصطناعي بلاستيكي ؛ لاشباع رغبتيها او ذلك حرام ؟ وشكرا. عاشرني",,,
"زوجي في كتبه رسالة كتبها لفتاة كان على	علاقة	معها منذ حوالي 9 سنين ، ومنذ يعتبر تجسسا ؟ وهل علي",,,
"؟ ؟ ؟ افيدوني جزاكم الله خيرا زوجي	ينام	بمفرده في غرفة مستقلة ، ولا ياتي لغرفتي الا اذا اراد الجماع",,,
"تحلل المراة هكذا",,,
"منذ عام ونصف ، وقد علمت انه على	علاقة	باخرى ، وانه حرر ورقة مثلاً او فواكه وجزاكم الله خيراً.",,,
"ومنذ بداية زواجي لاحظت على زوجي تصرفات لها	علاقة	بالشذوذ الجنسي مع الذكور ، وكانت الشكوك تدور في راسي حتى تبين",,,
"وكاملا والحمد لله. وشكرا. كيف تكون	علاقة	زوجي بزوجة اخيه ؟ حيث انها عندما خطبني اتصلت بي وقالت لي",,,
"هل اذا غيرنا الاسم يصير شيء. وتاتيها	هزة	الجماع ـ فهل هذا جماع يقع به الطلاق ؟ وبارك الله فيكم",,,
"شيء. وتاتيها هزة الجماع ـ فهل هذا	جماع	يقع به الطلاق ؟ وبارك الله فيكم. زوجي قال لامي في",,,
"طالق اذا اجامعها الى درجة بلوغ النشوة دون	مس	الذكر ، فما حكم ذلك ؟. قال زوجي: لو دخلت",,,
"فهل استطيع ان اقول انه اذا لم يحدث	جماع	مع زوجي او لم افعل العادة السرية فهل يمكن اعتبار اي شيء",,,
"لم يحدث جماع مع زوجي او لم افعل	العادة	السرية فهل يمكن اعتبار اي شيء يخرج لا يحتاج الى طهارة الاسكندرية",,,
"ولنا بنت 5 سنوات ورضيع اكمل الشهر زوجي	بارد	في معاملتي حتى اني لا اعرف كيف حملت وهو لا يعبر ابداً",,,
"الى العمل من اليوم رجل بالهاتف يلاطفني ونمارس	الجنس	بالهاتف ، فهل هذا زنا ، وما الحل ؟ كان زوجي واخوه",,,
"بالهاتف يلاطفني ونمارس الجنس بالهاتف ، فهل هذا	زنا	، وما الحل ؟ كان زوجي واخوه ـ وهو متزوج وله اولاد",,,
"لثاني مرة من زوجي ، لكن عرفي على	يد	شيخ واثنين شهود في بلد غربي ، وانا اقيم معه الله جعلها",,,
"، وقلت الحمد لله سوف ارتاح من هذه	العادة	، وكانت تحدث بيني وبين زوجي في فتره الملكة مداعبات ، وذات",,,
"اني وصلت ، ولا مرة ، فعدت لممارسة	العادة	بعد كل جماع. حاولت ان اصل للرعشة مع زوجي عن طريق",,,
"ولا مرة ، فعدت لممارسة العادة بعد كل	جماع	. حاولت ان اصل للرعشة مع زوجي عن طريق مداعبة البظر ،",,,
"افعل حتى اصل للرعشة مع زوجي ، واترك	العادة	السرية هل اصبر على مداعبة البظر ، واني بعد ذلك ساصل للرعشة",,,
"منفصلين داخليا بدرج ، وباب داخلي",,,
"حياتي مع رجل غيره واتخيله زوجي و امارس	العادة	السرية بسبب التفكير فيه فما حكم الشرع في التفكير في رجل اجنبي",,,
"زوجي اصر واقرض اخاه المبلغ وعلل ذلك بانه	حر	في امواله كما انني انا حرة في عليه ام هو على صواب",,,
"اصبر للحظة. انا لا اريد ان ادمر	علاقة	زوجي بامه وابيه ولكن ما يحدث فهو كثير جدا وانا لا اريد",,,
"طبيعي. وشك اهلي ان يكون الامر فيه	سحر	او عين ؛ لاننا دوما نسمع ان الخطوبة شيء ، والزواج شيء",,,
"المطلوبة ما الفتوى اذا بعتها بشكل شخصي ولا	علاقة	للمؤسسة به. ام زوجي يصرف لها من راتب زوجها المتوفى وزوجي",,,
"وضعت الثوب عليها ، ولا اعلم هل كانت	رطبة	ام لا ؟. زوجي لا يصلي ودائما اقول له متى ستصلي",,,
"والجمال ، وملتزمة بتعاليم ديننا الحنيف ، ولم	تلمس	يداي قبل زوجي رجلا آخر ، وللاسف كنت اعتقد ان زوجي صاحب",,,
"، وكنت احاول جاهدة ديننا الحنيف ، ولم	تلمس	يداي قبل زوجي رجلا آخر ، وللاسف كنت اعتقد ان زوجي صاحب",,,
"فترة لم اكن معتادة عليه ، وكان احيانا	ينام	مبكرا ، فاسترجع: كان يتخيل وهو يجامعني انه يجامع امه ،",,,
"ينام مبكرا ، فاسترجع: كان يتخيل وهو	يجامعني	انه يجامع امه ، او اخته ، وانا اتخيل ان زوجي هو",,,
"، فاسترجع: كان يتخيل وهو يجامعني انه	يجامع	امه ، او اخته ، وانا اتخيل ان زوجي هو ابي او",,,
"الله خيرا. طلقني زوجي طلقة اولى على	يد	ماذون واستلمنا ورقه الطلاق ، وبعد شهر من الطلاق ـ اي احسست",,,
"صعب. ماذا افعل ؟ اخبرني زوجي انه	زنا	، وطلب مني ان اسامحه ، وسامحته وقال لي انه يتحدث مع",,,
"ردد ما انا قلته ، ام يعتبر غير	واقع	لانه سبقها بنفي ؟ قال لي زوجي راكي مطلقة في حالة غضب",,,
"الطلاق ؟ افيدونا افادكم الله ؟ زوجي على	علاقة	بامراة وكان هو السبب في طلاقها من زوجها لكي يتزوجها ، ما",,,
"، وقضى زوجي فترة شهر لم تتم فيها	علاقة	زوجية ناجحة ، وسافر وتركني بكرا لمدة 4 شهور ان تدعو باللهم",,,
"ونحن في حال الجماع يجبرني بانه يريد ان	يجامع	درجة ، نحن عملنا اعلانا في الجرائد لبيع المنزل ، كان يوجد",,,
"هي الكفارة ؟ حتى اخبر زوجي بها.	واقع	المسالة: كان عندي بضع دجاجات وديكان وكان لجاري ديك شرس يتعدى",,,
"؟ وشكرا. اكتشفت قبل اربعة اشهر ،	علاقة	زوجي مع زوجة ابن خالته ، وهما يتكلمان كلاما لا يقوله الا",,,
": اول مرة: كنت في طهر ،	جامعني	فيه ، وزارة الخارجية اليمنية على الوثيقة الممنوحة لي من المحكمة الامريكية",,,
"شاء الله قريب في بعض الاوقات تحصل لي	اثارة	وافكر في الموضوع واتخيل زوجي ، (احس بعدها بخبط في المهبل",,,
"اذا علمت ان زوجي يخزن على جهازه صوراً	اباحية	هل اطلب الطلاق ؟ هناك امراة مسلمة كان زوجها يقوم ، لكنني",,,
"زوجي لا يحافظ كثيرا على صلاته",,,
"حكم قراءتي للروايات الرومانسية ومشاهدة افكار النساء في	جذب	الزوج ، علما بان ؟ وشكرًا. ما هي حدود اللبس امام",,,
"الحين حلف زوجي بالطلاق مني الا تصافح يده	يد	زوج اختي لانه اخطا بحقه كثيرا ، ومنذ فترة فترة حدثت محاولات",,,
"قريبتي كانت مصابة بالربو ، وتناولت بيضة حرباء	مجففة	ومملحة مع معلقتين من سمن فظيعة بسبب لبسي له في كل مرة",,,
"او مع من ، كانت نيته - فعله	العادة	السرية ، وعدم غض البصر ، فاصبحت امتنع بسبب عدم رغبتي في",,,
"، وقضى زوجي فترة شهر لم تتم فيها	علاقة	زوجية ناجحة ، وسافر وتركني بكرا لمدة 4 شهور مما جعلني في",,,
"الى سيدة مسيحية متزوجة ولديها اولاد واستمر على	علاقة	بها رغم محاولاتي بالحسنى",,,
"الخاطئة ، وهو دائما يخبرني بانه و بانني	باردة	، والسبب في هذا اننا في بعض الاحيان نكون مجتمعين مع عائلة",,,
"قبل ايام ، وانا متعودة منذ سنين استعمال	حبوب	منع الحمل لاكمال صيام يحتويان على بعض المحرمات ام يكون في ذلك",,,
"الشركة ، فقال لي زوجي انه ليس له	علاقة	وان الافضل ان يكون الموضوع بيني وبين ابن خالي. 5- الله",,,
"، حصلت بيني وبين زوجي مشكلة ليست لها	علاقة	بالشغل ، حصلت مشادة في الكلام بيننا وانفعالات ، فقال لي ،",,,
"منها اي لفظ جارح في المستقبل ؟.	جامعني	زوجي في طهر وكان يتكلم معي في كامل عقله وقال: ان",,,
"صديقتها احتمال يكون بسبب السحر وانا اشك في	جماع	زوجته قبل الاذان بفترة قصيرة",,,
"وجزاكم الله خيراً. اشعر ان زوجي على	علاقة	بامراة اخرى ولكنني لا استطيع تحديدها ولا معرفة مداها فبماذا تنصحني ان",,,
". زوجي هاجرني لمدة 10 سنوات ، ولا	يجامعني	نهائيا ، حاولت معه ولكنه رفض. منهم لا اصلي جميع الفرائض",,,
"عنوان مجهول ، وعندما فتحته وجدت به صورا	اباحية	وعندما عدت للبيت اخبرت زوجي بالموضوع بحسن نية ، ولكنه انفعل ،",,,
"8 سنوات وعلمت ان زوجي له رغبات نحو	الجنس	الاخر ـ اي الرجال ـ صبرت كثيرا معه ليرجع عن هذا اعمل",,,
"الافادة ؟ بارك الله فيكم. زوجي على	علاقة	بامراة اخرى ، اصبح يعاملني معاملة سيئة ولا ينفق على بيته ،",,,
"انا استحيي ان اتكلم بهذا الكلام ، فحينما	يجامعني	زوجي لا اشعر بالراحة واتعب ، فهل يجوزلي ان امارس العادة السرية",,,
"اشعر بالراحة واتعب ، فهل يجوزلي ان امارس	العادة	السرية ؟ فاحيانا اذهب الى لا اشعر بالراحة واتعب ، فهل يجوزلي",,,
"اشعر بالراحة واتعب ، فهل يجوزلي ان امارس	العادة	السرية ؟ فاحيانا اذهب الى زوجي ويرفضني واتعب كثيرا وجسمي يؤلمني اذا",,,
"ولا ارتاح واحاول ان لا افعل هذا امارس	العادة	السرية ؟ فاحيانا اذهب الى زوجي ويرفضني واتعب كثيرا وجسمي يؤلمني اذا",,,
"زوجي يخونني مع اخريات ولم تكن خياناته محض	نزوة	عابرة حيث انه استمر في علاقته مع استراحة. السؤال يا شيخ",,,
"يسمح عملي وقبله كنت اسمح لزوجي كثيرا ان	ينام	في بيتي دون حصول جماع بيننا لان زوجي عاجز جنسيا لانني كنت",,,
"لزوجي كثيرا ان ينام في بيتي دون حصول	جماع	بيننا لان زوجي عاجز جنسيا لانني كنت اشفق عليه بالرغم من الخلافات",,,
"بيتي دون حصول جماع بيننا لان زوجي عاجز	جنسيا	لانني كنت اشفق عليه بالرغم من الخلافات الشديدة بيننا وكذلك من اجل",,,
"باحدى الدول الاجنبية وكان قبل زواجه بي على	علاقة	بامراة اجنبية علاقة غير مسالة جزاكم الله خيراً ، انا كنت متزوجة",,,
"وكان قبل زواجه بي على علاقة بامراة اجنبية	علاقة	غير مسالة جزاكم الله خيراً ، انا كنت متزوجة واثناء زواجي لم",,,
"تعرفت على رجل اثناء زواجي وكانت لي معه	علاقة	غير شرعية كان نتيجتها ولد ، اسم عائلة الزوجة فقط لعائلة الزوج",,,
"اولى ورجعت وهذه الثانية. زوجي مدمن افلام	اباحية	وصور خليعة... يسهر الى وقت متاخر في الليل ليتسنى له الفرصة",,,
"واجبة ؟ وشكرًا. زوجي يامرني ان اشرب	حبوب	منع نزول الدم حتى لا تاتيني الدورة الشهرية ، فهل هذا اشك",,,
"الا اذا نسيت تناول الحبوب في ليلة ثم	جامعني	زوجي في هذه الليلة ولكني لست متاكدة ، ارجو ان اجد منكم",,,
"وافعاله مجرد شك في بداية زواجي عندما اتتني	العادة	الشهرية جلست 8 ايام واغتسلت صباح التاسع ، وجامعني زوجي دون ان",,,
"مع زوجي ليطلقني ، والظن الاغلب ان معها	مس	من الشيطان ، جعلت زوجي يحلف بالطلاق ثلاثا وهي تحاول مع زوجي",,,
"مع زوجي ليطلقني ، والظن الاغلب ان معها	مس	من الشيطان ، جعلت زوجي يحلف بالطلاق ثلاثا علي ان لا يزورها",,,
"استطيع ان اقول لزوجي: انه كانت لي	علاقة	محرمة في الماضي",,,
"لي: تحرمين عليّ لو كان لك اي	علاقة	محرمة في الماضي",,,
"انا محرمة على زوجي ؛ لانه كان لي	علاقة	في الماضي ام لا ؟ علمًا اني لا يمكنني ان له ذلك",,,
"اعلم ليس لي الا الدعاء ، فقد حاولت	جذب	زوجي واغرائه لاعفه عن الحرام ، ولكن العادة السرية مازال يعود اليها",,,
"جذب زوجي واغرائه لاعفه عن الحرام ، ولكن	العادة	السرية مازال يعود اليها لمشاهدته الافلام الاباحية ، الحساب كل سنة تقريبا",,,
". جاءتني الدورة ، وبعد الطهر باربعة ايام	جامعني	زوجي ، ثم نزل علي بعد الجماع دم اسود استمر معي الى",,,
"زوجي",,,
"وعندما تحصل مشاكل بيني وبين زوجي ، لا	ينام	في غرفته الزوجية. هل يجوز هذا ام لا يجوز ؟ انا",,,
"عني سوى انني فاضلة ومحترمة. في حد	زنا	البكر تغريب عام ، بما انهم يوقعون الطلاق قبل النكاح ؟ وهل",,,
"في النهاية بريء هي التي احضرته وكانت على	علاقة	معه هي قصدها انها تورطني في البداية ترددت ولكن سمعت كلامها اكسب",,,
"الذي قالته اخت زوجي لزوجي لتشويه سمعتي وشرفي	قذف	وكيف احل المسالة غير متزوجة وانا متزوجة وعايشة حياة سعيدة مع زوجي",,,
"الذي قالته اخت زوجي لزوجي لتشويه سمعتي وشرفي	قذف	وكيف احل المسالة ؟ ارجوكم ساعدوني. هل يجوز لغير وجزاكم الله",,,
"فقد تفتح لك باب الفرج. زوجي يمارس	العادة	السرية بطريقة غير عادية ، فنصحته وقلت له لو كنت غير سعيد",,,
"بسبب كلامه مع النساء على الشات وممارسة هذه	العادة	السرية ، وحاورته كثيرا كيفية التعامل السليم ، مع الرؤى المبشرة والمحذرة",,,
"يغطيها ، الطعام فيها او القهوة مع وجود	رطوبة	الاواني. فراشنا قد يكون عليه مذي من زوجي -اتوقع ذلك- ،",,,
"لا. واذا لها كفارة يجب ان لا	يجامعني	زوجي حتى اكفر ؟ حلف زوجي بان اكون بالنسبة له كامه واخته",,,
"ابيه. في الايام الاخيرة بدا يتحرش بي	جنسيا	، قولا وفعلا ، تصل لهذه البقعة ، مما يجعلني استاء من",,,
"من حقه- قد استجيب من الله بدعوة برفع	يد	ودعوة علينا ؟ من الله بدعوة برفع يد ودعوة علينا ؟ ارجو",,,
"يد ودعوة علينا ؟ من الله بدعوة برفع	يد	ودعوة علينا ؟ ارجو الرد. مع العلم اننا اقنعنا زوجي انا",,,
"يحلم زوجي بان زوجة اخيه تقوم بسكب صلصة	حارة	على الاطعمة التي اشتراها ، فتفسد كلها ، ، فتفسد كلها ،",,,
"اصلا لا احب زوجي ولا اشعر معه باي	متعة	اثناء المعاشرة واعاني من هذه المشكلة طيلة 4 سنوات ولا جمال وخفة",,,
"، وتم اخراج صك الطلاق ، فهل طلاقه	واقع	ام لا ؟. زوجي طلقني ؛ لانني قلت له: نضع",,,
"في المنزل وشرح له زوجي كل شروطنا لطلب	يد	الفتاة واتفق معه على ان يعتنق الاسلام ولكن بعد ان يحس الفتاة",,,
"زوجي من مشاهدة الصورالاباحية ؟ هل يجوز ممارسة	الجنس	على الانترنت عبر الكلام وهل يجوز ان كافة المصروفات اللازمة. الثانى",,,
"، وكانت المفاجاة الكبرى لي (زوجي ضعيف	جنسيا	) آسفة على التصريح بهذا. سؤالي الآن: ماذا علي ان",,,
"بدا زوجي يشك في ، ويتهمني باني على	علاقة	بدون اي دليل. ووصل به الامر الى بالكبير ، فكل غرفة",,,
"حمام الرجال وتصادفنا في الهول حيث انه كان	ينام	هو وزوجته اي اخت زوجي في الغرفة الملاصقة لغرفة نومنا ومنذ خرجت",,,
"وانا موسوسة بالكفر ، الجزاء. كنت على	علاقة	قبل زواجي ، وتزوجت ، والحمد لله ، لكن خنت زوجي بمكالمات",,,
"عنده بالاهانة لي",,,
"وحكم فراش الزوجية من حيث الطهارة ، واذا	لامست	يدي قضيب زوجي مثلا ، وعلق بها شيء من مذيه ، وبعدها",,,
"الزوجية من حيث الطهارة ، واذا لامست يدي	قضيب	زوجي مثلا ، وعلق بها شيء من مذيه ، وبعدها لامست بها",,,
"، وعلق بها شيء من مذيه ، وبعدها	لامست	بها الفراش ، فما حكم ، فما حكم الفراش بعد ذلك ؟",,,
"؟ ثم فيما يخص الوضوء: هل اذا	لمس	زوجي يدي او قبلني تجب علي اعادة الوضوء ؟ واخاف كثيرا من",,,
"متعبين جدًّا ، فقال زوجي انه يريد ان	ينام	، ويجمع كل الصلوات مع بعضها ، فقلت له: هذا الكفر",,,
"التي يبيت زوجي فيها عند زوجاته اقوم بممارسة	العادة	السرية ، فما الحكم في ذلك ؟ هل يصبح وهل رؤوس اموال",,,
"ولديه اطفال مني ومن زوجته الثانية ولديه منزلان	يد	امراة اجنبية عنه بتلذذ في نهار رمضان متعمدا. هل عليه شيء",,,
"علم ؟ هل عدم انجابي قد تكون له	علاقة	بظلم اخي زوجي لزوجته الاولى. حيث انه تزوج من قريبتي",,,
"من مصروفي الخاص لكن ابي باذن الله من	حر	مالي ، علما بانني موظفة ، فهل تنطبق شروط الاضحية على زوجي",,,
"بعد الجماع اقوم وامسح الارض بالماء واذا زوجي	لمس	اي شيء امسحه حتى اذا فتح الباب امسحه وايضا اغسل الفراش واقوم",,,
"وقد غضب عندما لم تُدع زوجته الثانية لحفل	العادة	السرية معي فقط ليرضي نفسه ، وقد صبرت ، لان من واجبي",,,
"متزوجة منذ عام ونصف. تعرض زوجي الى	سحر	عن طريق الطعام وضع عن طريق اهله وذلك للتفريق بيننا. وعلى",,,
"اولادي ، حتى انني وصلت لمرحلة ان رغبة	جنسية	الى الزوجة ، وهناك كثرة مشاكل. فما هو الحل ؟ مشكلتي",,,
"جزاكم الله كل خير -. ؟ زوجي	يجامعني	مرة في الشهر ولا انفك ادعو الله في كل ليلة ان يقوم",,,
"المسؤولة تعلم ان هناك الكثير من All Fatawa	جنسية	شاذة ؟ متزوجة منذ شهرين ونصف تقريبا وكنت اعاني من خلافات بين",,,
"وقالت عني كلمات بذيئة ، وقامت بقذفي اي	قذف	المحصنات الغافلات ، وقالت اني All Fatawa وقامت بقذفي اي قذف المحصنات",,,
"، وقالت اني All Fatawa وقامت بقذفي اي	قذف	المحصنات الغافلات ، وقالت اني لا اضع البوشيه اذا رايت اخا زوجي",,,
"عنا امام اهل زوجي بكلام غير صحيح محاولة	اثارة	الفتنة بين اهل زوجي وبيني وبدات المشاكل تحل بيننا حتى All Fatawa",,,
"عنا امام اهل زوجي بكلام غير صحيح محاولة	اثارة	الفتنة بين اهل زوجي وبيني وبدات المشاكل تحل بيننا حتى وصلت الامور",,,
"وبين زوجي للطلاق ومقاطعة اهله بسببها All Fatawa	اثارة	الفتنة بين اهل زوجي وبيني وبدات المشاكل تحل بيننا حتى وصلت الامور",,,
"All Fatawa وتطاول علي بالفاظ قذرة بانه لا	يجامع	زوجته بسببي وكل ذلك في منزل اهلي وامام زوجي وسكت زوجي ولم",,,
"سحرا ؟ All Fatawa بالفاظ قذرة بانه لا	يجامع	زوجته بسببي وكل ذلك في منزل اهلي وامام زوجي وسكت زوجي ولم",,,
"شيئا لانه يعيش في بيت اهلي وذلك بهدف	اثارة	الفتنه بيننا All Fatawa شيئا لانه يعيش في بيت اهلي وذلك بهدف",,,
"شيئا لانه يعيش في بيت اهلي وذلك بهدف	اثارة	الفتنه بيننا وطلاقنا. اما عن زوجي فهو حر معه يقابله خارج",,,
"الفتنه بيننا وطلاقنا. اما عن زوجي فهو	حر	معه يقابله خارج البيت ان شاء ذلك ولم يقاطعه ابدا ، وفوجئت",,,
"قطيعة الرحم بين الاخوة وهو الآخر يتسبب في	اثارة	المشاكل بيني وبين زوجي. اقسم بالله العظيم انني في حالي ولا",,,
"العصر الى العشاء ، وحصل بيني وبين زوجي	جماع	، وبعد الجماع ب4 او 5 ساعات استيقظت من النوم ووجدت دما",,,
"شيء فاغتسل واصلي ، ومن الممكن ان يحدث	جماع	مع زوجي ، وبعدها تنزل نقط دم مرة اخرى ، ولو انتظرت",,,
"ثم توقف ليوم ونصف فاغتسلت وصليت العصر ثم	جامعني	زوجي وبعدما اغتسلت لصلاة المغرب رايت شيئاً كانه الدم الخفيف ولم اصل",,,
"وجزاكم الله خيرا. علمت ان زوجي على	علاقة	بامراة مطلقة يتحدث اليها بالهاتف ، وخرج معها مرة واحدة في مكان",,,
"كيف اتصرف مع زوجي ومعهم ؟ ؟ شاب	زنا	ثم انه اراد ان يتزوج ، فنصحه بعض الناس بانه وقد نسيت",,,
"فهل نحن متزوجان ؟ وهل ما نحن فيه	زنا	؟ مع العلم ان زوجي عاد اليوم للبيت واخبرته انني تركت عاملا",,,
"؟ انا امراة متزوجة جديدا",,,
"تتجاوز الحد اخبر زوجي كي يتحدث معها باسلوب	رقيق	لانها والدته ، واحيانا تحزن عندما تعلم انه اكتشف سوء والدته ،",,,
"وبين زوجي (اكتشفت ان زوجي يشاهد صورا	اباحية	) حاولت تهدئة نفسي ، وعدم اخباره ، العمر 25 عاما ،",,,
"وبين زوجي (اكتشفت ان زوجي يشاهد صورا	اباحية	) حاولت تهدئة نفسي ، وعدم اخباره ، ولم اتمالك نفسي ،",,,
"(شاهدت ان زوجي يرى صور اناث بعضو	ذكري	حقيقي) هل يعني هذا ان زوجي شاذ ؟ ارجو (شاهدت",,,
"(شاهدت ان زوجي يرى صور اناث بعضو	ذكري	حقيقي) هل يعني هذا ان زوجي شاذ ؟ ارجو الرد على",,,
"تزوجت ، وفي كل فترة تصلني انباء عن	علاقة	زوجي باخرى حتى اكتشفت احداهن ، فابلغت اهله وبدا يدافع بانني السبب",,,
"وكلما تخاصمنا في امور جانبية يذكر يعيّرني باني	باردة	، ان ليس للمراة سوى الرجل تسكن تحت جناحه ، ولكن خائفة",,,
"تلك الرجال. داعبني زوجي مداعبة خفيفة بدون	جماع	وانا حائض في نهار رمضان ، فشعرت انني امنيت",,,
"الا انني الاحظ ان زوجي يستيقظ باكراً ويفعل	العادة	السرية ، هل معنى هذا انه غير مرتاح معي ام اني بقوم",,,
"في شهري السادس ثم شربت اكتشفت انه على	علاقة	بامراة اخرى ؟ انا متزوجة بمسلم وقد اعتنقت الاسلام ، وكان زوجي",,,
"في اليوم الثاني فقمت بقصه ، كما انني	جامعت	زوجي عند عودتنا الى السكن في الحرم بعد انتهاء العمرة ، فما",,,
"معه بتاتا لم 30 بدات اشعر بالرغبة في	الجنس	وبحاجة لهذه المشاعر لم ادع بابا لحل مشكلتي مع زوجي الا وطرقته",,,
"الذي يحيرني هو ان زوجي كانت له علاقات	جنسية	سابقة ـ اي انه زان ـ وكنت اعلم بذلك ورغم ذلك ودائما",,,
"اجنبية عنا فهي متبناة ومجهولة الابوين (بنت	زنا	) ، فلم يقبل زوجي ذلك الوضع واصر على ادخالها لهذا المركز",,,
"ان امسح وسط الشعر او آخره ؟.	جامعت	زوجي وبعد ذلك اغتسلت ، وبعد الغسل بفترة نزل مني سائل ابيض",,,
"انا متزوجة منذ 6 سنوات ، وقد وقعت	علاقة	محرمة بيني وبين زوجي في فترة الخطبة ، وكنت حاملًا ولم اعلم",,,
"مساعدتي. لا اعلم هل هذا حسد ام	سحر	او جني عاشق ؟ لاداء عمرة او زيارة اهله فى بلدة اخرى",,,
"قليلا حتى انه كثيرا يقارن بيني وبينها وانه	ينام	وطفلان فلا يستريح عندما ينام عندهما وانا ليس عندي غير طفل رضيع",,,
"بيني وبينها وانه ينام وطفلان فلا يستريح عندما	ينام	عندهما وانا ليس عندي غير طفل رضيع ينام بسرير بمفرده زوجي ظروفه",,,
"ينام عندهما وانا ليس عندي غير طفل رضيع	ينام	بسرير بمفرده زوجي ظروفه المادية حالت دون ان يعمل لي عرسا او",,,
"فبماذا تنصحوني ان افعل ؟ زوجي مدمن افلام	اباحية	، ولدينا ابنة علاقته بها ليست جيدة ، وكانه لا يدرك انه",,,
"السابق ، اتفقنا على الزواج لاحقا وكان بيننا	علاقة	نبلغ ؟ وهل فرض علينا / سؤال 2- كيف نتعامل مع الجيران",,,
